"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"5683",99385,1,2,1,2,1,2,2,1,2,9,3.98,3,1,NA,1
"5684",99386,1,1,2,2,2,2,2,1,2,77,NA,7,2,77,1
"5685",99387,2,1,1,1,2,2,2,1,1,9,3.65,3,1,NA,1
"5686",99388,1,2,2,2,2,2,2,2,2,9,2.89,3,2,4,1
"5687",99389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5688",99390,1,1,2,2,2,2,2,2,1,5,1.18,1,2,1,1
"5689",99391,1,2,2,2,2,2,2,2,2,11,3.14,3,2,2,1
"5690",99392,1,1,2,2,2,2,2,1,2,9,2.44,3,1,NA,1
"5691",99393,2,2,1,2,1,2,2,1,2,6,1.77,2,1,NA,2
"5692",99394,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5693",99395,2,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5694",99396,1,2,2,2,2,2,2,2,2,4,1.09,1,2,1,2
"5695",99397,2,2,1,2,1,2,2,1,2,7,2.22,3,1,NA,1
"5696",99398,1,2,2,2,2,2,2,2,2,12,4.78,3,2,3,1
"5697",99399,1,2,2,2,2,2,2,2,1,5,1.46,2,2,1,1
"5698",99400,1,2,2,2,2,2,2,2,2,99,NA,2,2,1,1
"5699",99401,1,2,2,2,2,2,2,2,2,12,4.08,3,1,NA,1
"5700",99402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5701",99403,1,2,2,2,2,2,2,2,2,99,NA,1,2,99,1
"5702",99404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5703",99405,2,2,1,1,2,2,2,2,2,5,0.93,1,2,1,2
"5704",99406,1,2,2,2,2,2,2,2,2,99,NA,3,2,1,2
"5705",99407,1,2,1,2,2,2,2,2,2,8,1.95,3,2,1,1
"5706",99408,1,2,2,2,2,2,2,2,2,8,2.15,3,2,2,2
"5707",99409,1,1,2,2,2,2,2,2,1,8,1.67,2,2,1,2
"5708",99410,1,1,2,2,2,2,2,2,2,9,3.35,3,2,2,1
"5709",99411,2,2,1,2,1,2,2,1,2,99,NA,3,1,NA,8
"5710",99412,1,2,1,2,2,2,2,2,2,1,0,1,2,2,2
"5711",99413,1,1,2,2,2,2,2,2,2,8,1.95,3,2,2,1
"5712",99414,1,2,2,2,2,2,2,2,2,12,4.78,3,1,NA,1
"5713",99415,2,2,1,2,1,2,2,1,2,12,5,3,2,3,1
"5714",99416,2,2,2,2,2,2,2,2,1,99,NA,2,2,1,1
"5715",99417,1,2,2,2,2,2,2,1,2,3,0.52,1,1,NA,1
"5716",99418,1,2,1,2,1,2,2,2,2,9,2.29,3,2,3,1
"5717",99419,2,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"5718",99420,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5719",99421,2,2,2,2,1,2,2,1,2,10,5,3,1,NA,1
"5720",99422,1,1,2,2,2,2,2,1,2,11,4.7,3,1,NA,1
"5721",99423,1,2,1,2,1,2,2,2,2,11,3.82,3,1,NA,1
"5722",99424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5723",99425,1,2,2,2,2,2,2,2,2,99,NA,2,1,NA,1
"5724",99426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5725",99427,1,2,2,2,2,2,2,2,1,5,0.98,1,2,1,1
"5726",99428,1,2,1,2,1,2,2,2,2,10,2.5,3,2,2,3
"5727",99429,1,2,2,2,2,2,2,2,2,3,0.9,1,2,1,1
"5728",99430,1,2,2,2,2,2,2,2,2,11,3.02,3,2,1,1
"5729",99431,1,2,2,2,2,2,2,2,2,7,2.99,3,2,1,1
"5730",99432,1,2,1,2,2,2,2,1,1,10,3.46,3,2,5,1
"5731",99433,1,1,2,2,2,2,2,1,2,12,4.15,3,1,NA,1
"5732",99434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5733",99435,1,2,2,2,2,2,2,2,2,1,0,1,2,3,1
"5734",99436,1,2,2,2,2,2,2,2,2,4,1.58,2,2,1,3
"5735",99437,2,2,1,2,2,2,2,1,2,1,0,1,1,NA,3
"5736",99438,1,2,2,2,2,2,2,2,2,5,0.98,1,2,99,1
"5737",99439,2,1,2,1,2,2,1,2,2,3,0.46,1,2,1,1
"5738",99440,1,2,7,2,2,2,2,2,2,8,1.1,1,2,1,4
"5739",99441,1,1,2,2,2,2,2,2,2,9,2.39,3,1,NA,1
"5740",99442,1,2,1,2,2,2,2,2,2,99,NA,3,2,1,1
"5741",99443,1,1,2,2,2,2,2,2,2,10,2.96,3,2,4,1
"5742",99444,1,2,2,2,2,2,2,2,2,11,4.05,3,2,1,1
"5743",99445,1,1,2,2,2,2,2,1,2,10,2.24,3,1,NA,1
"5744",99446,1,2,2,2,2,2,2,2,2,10,2.73,3,2,2,1
"5745",99447,7,7,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5746",99448,1,2,2,2,2,2,2,2,2,3,0.58,1,2,1,1
"5747",99449,1,2,2,2,2,2,2,2,2,11,3.82,3,1,NA,1
"5748",99450,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5749",99451,1,2,1,2,2,1,2,2,2,6,1.04,1,2,1,1
"5750",99452,2,2,1,2,1,2,2,2,2,6,1.67,2,2,1,9
"5751",99453,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,6
"5752",99454,2,2,1,2,2,1,2,2,2,7,2.11,3,2,1,3
"5753",99455,1,2,1,2,2,2,2,2,2,9,1.28,1,2,3,1
"5754",99456,1,2,2,2,2,2,2,2,2,5,1.31,2,2,3,1
"5755",99457,1,2,2,2,2,2,2,2,2,99,NA,9,2,99,1
"5756",99458,1,2,1,2,2,2,2,2,1,10,2.18,3,2,3,1
"5757",99459,1,2,1,2,2,2,2,2,1,6,1.2,1,2,1,1
"5758",99460,1,2,2,2,2,2,2,2,2,3,0.49,1,2,1,1
"5759",99461,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5760",99462,1,1,2,2,2,2,2,2,2,8,1.95,3,2,2,1
"5761",99463,1,2,2,2,2,2,2,2,2,3,1.19,1,2,1,1
"5762",99464,2,2,1,2,2,2,2,2,2,6,1.47,2,2,1,1
"5763",99465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5764",99466,1,2,2,2,2,2,2,2,2,7,1.31,2,1,NA,1
"5765",99467,1,1,2,2,2,2,2,2,2,3,0.37,1,2,1,1
"5766",99468,1,2,1,2,2,1,2,2,1,4,0.53,1,2,1,2
"5767",99469,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5768",99470,1,2,2,2,2,2,2,2,2,12,5,3,2,2,1
"5769",99471,1,1,2,2,2,2,2,2,2,3,0.59,1,2,1,1
"5770",99472,1,2,2,2,2,2,2,2,2,9,1.78,2,1,NA,1
"5771",99473,1,2,2,2,2,2,2,2,2,11,3.34,3,2,4,1
"5772",99474,2,2,1,2,2,2,2,2,1,2,0.5,1,2,1,1
"5773",99475,1,2,2,2,2,2,2,2,2,9,4.98,3,2,3,8
"5774",99476,1,2,2,2,2,2,2,2,2,8,2.35,3,2,4,1
"5775",99477,2,2,1,1,2,2,2,2,2,6,1.29,1,2,1,1
"5776",99478,1,2,2,2,2,2,2,2,2,7,2.02,3,2,1,1
