"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"1",93703,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"2",93704,1,2,2,2,2,2,2,1,1,12,5,3,1,NA,1
"3",93705,2,1,1,2,2,2,2,2,2,2,0.49,1,2,3,1
"4",93706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",93707,1,2,1,2,2,1,2,2,2,11,2.2,3,2,1,1
"6",93708,2,2,2,1,1,2,2,2,2,5,1.46,2,1,NA,1
"7",93709,2,2,1,2,2,1,2,2,2,3,0.96,1,2,1,3
"8",93710,1,2,2,2,2,2,2,2,2,9,2.94,3,2,1,1
"9",93711,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"10",93712,1,2,2,2,2,2,2,2,2,4,0.76,1,2,1,1
"11",93713,2,2,1,2,2,2,2,2,2,7,2.99,3,2,1,1
"12",93714,1,2,2,2,2,2,2,2,2,6,1.29,1,2,2,1
"13",93715,2,1,1,2,1,1,1,2,2,6,0.9,1,2,1,1
"14",93716,1,2,2,2,2,2,2,1,2,11,4.11,3,1,NA,1
"15",93717,1,2,2,2,2,2,2,2,2,1,0,1,2,1,4
"16",93718,1,2,1,2,2,1,2,2,1,12,5,3,2,1,1
"17",93719,1,2,2,2,2,2,2,2,1,11,3.88,3,2,1,1
"18",93720,1,2,2,2,2,2,2,2,2,6,1.47,2,2,1,1
"19",93721,1,2,2,2,2,2,2,2,2,7,2.19,3,2,1,1
"20",93722,1,2,2,2,2,2,2,2,2,5,1.69,2,2,1,1
"21",93723,1,1,2,2,2,2,2,2,2,8,3.33,3,1,NA,1
"22",93724,1,2,1,2,2,1,2,2,2,5,0.46,1,2,1,1
"23",93725,1,1,2,2,2,2,2,1,2,12,5,3,1,NA,1
"24",93726,1,2,1,2,1,2,2,2,2,4,1.48,2,2,1,1
"25",93727,1,2,1,2,2,2,2,1,2,8,2.92,3,1,NA,1
"26",93728,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"27",93729,1,2,1,2,2,1,2,2,2,3,0.87,1,2,1,1
"28",93730,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"29",93731,1,2,2,1,2,2,2,2,1,11,2.86,3,1,NA,1
"30",93732,2,2,1,2,2,2,2,2,2,3,1.13,1,2,1,1
"31",93733,1,1,2,2,2,2,1,1,2,8,1.26,1,2,1,1
"32",93734,1,1,2,2,2,2,2,2,1,10,3.29,3,1,NA,1
"33",93735,2,2,2,1,2,2,2,2,2,3,0.53,1,2,1,4
"34",93736,1,1,2,2,2,2,2,2,2,99,NA,9,2,99,1
"35",93737,1,2,2,2,2,2,2,2,2,4,0.87,1,2,1,3
"36",93738,1,2,2,2,1,2,2,2,2,8,1.46,2,2,1,1
"37",93739,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1,1
"38",93740,2,2,2,2,2,1,2,2,2,2,0.74,1,2,1,3
"39",93741,1,2,2,2,2,2,2,2,2,12,4.89,3,1,NA,1
"40",93742,2,2,1,1,1,2,2,1,2,9,4.55,3,2,1,1
"41",93743,1,2,2,2,2,2,2,2,2,7,3.46,3,2,1,9
"42",93744,1,2,2,2,2,2,2,2,2,5,1.46,2,2,1,1
"43",93745,1,2,2,2,2,2,2,2,2,1,0,1,2,1,1
"44",93746,1,2,2,2,2,2,2,2,2,7,3.28,3,2,3,1
"45",93747,1,2,2,2,2,2,1,2,1,5,1,1,2,1,1
"46",93748,1,2,2,2,2,2,2,2,2,11,4.62,3,2,3,1
"47",93749,1,1,2,2,2,2,2,2,2,8,1.26,1,2,1,1
"48",93750,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"49",93751,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"50",93752,2,2,1,2,1,2,2,2,2,8,3.98,3,2,2,3
"51",93753,1,1,2,2,2,2,2,2,2,7,1.22,1,2,3,1
"52",93754,2,2,1,2,1,2,2,1,1,99,NA,1,2,2,1
"53",93755,1,2,2,2,2,2,2,2,2,6,2.19,3,2,1,1
"54",93756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",93757,2,2,1,1,1,2,2,2,2,7,2.44,3,2,1,1
"56",93758,2,2,2,2,2,1,2,2,2,3,0.81,1,2,1,4
"57",93759,1,2,2,2,2,2,2,2,2,77,NA,7,7,NA,1
"58",93760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",93761,1,2,2,2,2,2,2,2,2,2,0.31,1,2,1,1
"60",93762,2,2,1,2,1,2,1,2,2,3,1,1,2,1,2
"61",93763,1,2,2,2,2,2,2,1,2,11,3.41,3,1,NA,1
"62",93764,1,1,2,2,2,2,2,2,2,11,4.11,3,2,1,3
"63",93765,1,2,2,2,2,2,2,2,1,9,1.42,2,2,1,1
"64",93766,1,2,2,2,2,2,2,2,1,3,0.57,1,2,1,1
"65",93767,1,2,1,2,2,1,2,2,2,6,1.65,2,2,1,1
"66",93768,2,1,1,2,2,2,2,2,2,99,NA,3,1,NA,1
"67",93769,1,1,2,2,2,2,2,2,2,8,1.91,3,1,NA,1
"68",93770,2,2,1,2,2,2,1,2,2,3,0.8,1,2,1,3
"69",93771,1,2,2,2,2,2,2,2,2,7,0.92,1,2,3,1
"70",93772,2,2,1,2,2,2,2,2,2,2,0.7,1,2,1,4
"71",93773,1,2,1,2,2,2,2,2,1,3,0.87,1,2,1,1
"72",93774,1,2,2,2,2,2,2,2,2,10,3.53,3,1,NA,1
"73",93775,1,1,2,2,2,2,2,2,2,6,2.49,3,2,1,1
"74",93776,1,2,1,2,2,1,2,2,1,12,5,3,2,1,1
"75",93777,1,2,2,2,1,2,2,1,2,6,2.49,3,1,NA,1
"76",93778,1,2,1,2,2,2,2,2,2,12,5,3,1,NA,1
"77",93779,1,2,2,2,2,2,2,2,2,9,1.82,2,2,1,1
"78",93780,1,2,2,2,2,2,2,2,1,6,1.27,1,2,2,1
"79",93781,1,2,2,2,2,2,2,2,2,4,1.48,2,2,1,1
"80",93782,1,2,2,2,2,2,2,2,2,9,2.94,3,2,1,1
"81",93783,2,2,2,2,2,2,2,2,2,3,0.41,1,2,99,1
"82",93784,1,2,1,2,2,2,2,2,2,6,1.03,1,2,1,1
"83",93785,2,2,1,2,1,2,2,1,2,8,4.46,3,1,NA,1
"84",93786,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,1
"85",93787,1,2,1,2,2,2,2,2,2,3,0.39,1,1,NA,3
"86",93788,1,2,1,2,2,2,2,2,2,7,3.58,3,1,NA,1
"87",93789,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
"88",93790,1,1,2,2,2,2,2,1,1,11,3.06,3,1,NA,2
"89",93791,1,2,2,1,2,2,2,2,1,9,2.94,3,2,3,1
"90",93792,2,2,2,2,2,2,2,2,2,1,0,1,2,1,9
"91",93793,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"92",93794,1,2,2,2,2,2,2,2,2,11,4.04,3,1,NA,1
"93",93795,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,2
"94",93796,2,2,1,2,2,2,2,2,2,4,1.44,2,2,1,1
"95",93797,1,1,2,2,2,2,2,1,2,11,5,3,1,NA,1
"96",93798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",93799,1,2,2,2,2,2,2,2,1,10,4.06,3,1,NA,1
"98",93800,2,2,1,2,2,2,2,1,2,7,2.97,3,1,NA,1
"99",93801,1,2,2,2,2,2,2,2,2,10,4.43,3,2,1,1
"100",93802,2,2,2,2,2,2,2,2,2,2,0.35,1,2,1,2
"101",93803,1,2,2,2,1,2,1,2,2,9,1.82,2,2,1,1
"102",93804,1,2,2,2,2,2,2,1,2,5,0.96,1,2,1,1
"103",93805,2,2,1,2,2,2,2,1,2,11,5,3,1,NA,1
"104",93806,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"105",93807,1,2,2,2,2,2,2,2,2,12,4.3,3,2,1,1
"106",93808,1,1,2,2,2,2,2,1,1,12,3.26,3,1,NA,1
"107",93809,1,2,2,2,2,2,2,2,2,7,1.51,2,2,1,1
"108",93810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",93811,1,1,2,2,2,2,2,2,2,7,1.76,2,2,1,1
"110",93812,1,1,1,2,1,2,2,1,2,10,4.37,3,1,NA,1
"111",93813,1,2,2,1,2,2,2,2,2,99,NA,1,2,1,1
"112",93814,1,2,2,2,2,2,2,2,2,10,2.45,3,2,1,1
"113",93815,1,1,2,2,2,2,2,2,1,99,NA,1,2,1,1
"114",93816,2,2,2,2,2,2,2,2,2,1,0,1,2,1,3
"115",93817,1,2,2,2,2,2,2,2,2,12,5,3,2,2,1
"116",93818,1,2,2,2,2,2,2,2,2,99,NA,3,1,NA,1
"117",93819,1,2,2,2,2,2,2,2,1,4,0.52,1,2,1,1
"118",93820,1,2,2,2,2,2,2,2,2,9,2.04,3,2,1,1
"119",93821,1,1,2,1,2,2,2,9,2,7,0.79,1,2,2,1
"120",93822,1,2,2,2,2,2,2,2,2,6,1.22,1,2,1,1
"121",93823,9,1,1,2,2,2,2,2,2,5,1.4,2,1,NA,3
"122",93824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",93825,1,2,1,2,1,2,2,1,2,7,2.19,3,1,NA,1
"124",93826,2,2,1,1,2,2,2,2,2,7,2.33,3,2,1,1
"125",93827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",93828,1,1,2,2,2,2,1,2,2,5,1,1,2,1,1
"127",93829,1,1,2,1,2,2,2,2,1,11,4.62,3,2,1,1
"128",93830,1,2,1,1,1,2,2,2,2,11,5,3,2,3,1
"129",93831,1,2,2,2,2,2,2,2,2,7,3.26,3,2,1,1
"130",93832,1,1,2,2,2,2,2,2,2,12,5,3,2,3,1
"131",93833,1,2,2,2,2,2,2,2,1,10,2.87,3,1,NA,1
"132",93834,1,2,2,2,2,2,1,2,2,2,0.28,1,2,1,3
"133",93835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",93836,1,2,2,2,2,2,2,2,1,9,2.44,3,2,1,1
"135",93837,1,2,2,2,2,2,2,2,1,4,0.82,1,2,1,1
"136",93838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",93839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",93840,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"139",93841,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
"140",93842,1,2,2,2,2,2,2,2,2,5,1.48,2,2,1,1
"141",93843,1,2,1,2,9,9,2,2,2,12,3.75,3,1,NA,1
"142",93844,2,2,1,2,2,2,2,2,2,2,0.38,1,2,1,1
"143",93845,1,2,1,2,2,1,9,1,1,8,1.16,1,2,1,1
"144",93846,1,2,2,2,2,2,2,2,1,3,0.46,1,2,1,1
"145",93847,1,2,1,2,2,1,2,2,2,99,NA,1,2,1,1
"146",93848,2,2,2,2,2,2,2,2,2,1,0,1,2,1,3
"147",93849,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"148",93850,1,1,1,2,1,2,2,1,2,11,2.92,3,1,NA,1
"149",93851,2,1,1,2,2,2,2,1,2,7,2.22,3,1,NA,1
"150",93852,1,2,2,2,2,2,2,2,2,7,2.99,3,2,1,1
"151",93853,1,2,2,2,2,2,2,2,2,5,0.57,1,2,1,1
"152",93854,1,1,2,2,2,2,2,2,2,10,3.53,3,1,NA,1
"153",93855,2,2,1,2,1,2,2,1,2,8,3.95,3,1,NA,1
"154",93856,1,2,1,1,2,1,2,2,2,9,2.39,3,2,1,1
"155",93857,1,2,2,2,2,2,2,2,2,8,2.01,3,2,1,1
"156",93858,2,2,1,2,2,1,2,2,2,4,0.61,1,2,1,1
"157",93859,1,2,1,2,2,2,2,1,2,6,1.2,1,1,NA,1
"158",93860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",93861,2,2,1,1,1,2,2,2,1,8,2.92,3,2,2,1
"160",93862,1,2,2,1,2,2,2,2,2,11,1.69,2,2,1,1
"161",93863,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"162",93864,1,2,2,2,2,2,2,2,1,5,0.73,1,2,77,4
"163",93865,1,2,2,2,2,2,2,1,2,12,3.75,3,2,2,1
"164",93866,1,2,2,2,2,2,2,2,2,77,NA,7,2,1,4
"165",93867,1,2,1,2,2,2,2,2,1,12,2.68,3,1,NA,1
"166",93868,1,2,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,1
"167",93869,2,2,1,2,2,2,2,2,2,3,0.8,1,2,1,1
"168",93870,1,2,1,2,2,2,2,2,2,12,3.64,3,1,NA,1
"169",93871,2,2,2,1,2,2,1,2,1,3,0.58,1,2,1,2
"170",93872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",93873,1,2,2,2,2,2,2,2,1,4,0.53,1,2,1,1
"172",93874,1,2,2,2,2,2,2,2,2,6,0.71,1,2,1,3
"173",93875,1,1,2,2,2,2,2,2,2,2,0.49,1,2,1,3
"174",93876,1,2,1,2,2,1,1,2,1,4,0.69,1,2,1,1
"175",93877,2,1,1,2,1,2,2,2,2,10,3.28,3,1,NA,1
"176",93878,2,2,1,1,2,1,2,2,2,3,0.81,1,2,1,3
"177",93879,1,2,1,1,2,2,1,2,2,5,0.83,1,2,1,1
"178",93880,1,2,2,2,2,2,2,2,1,6,0.98,1,2,1,2
"179",93881,9,2,2,2,2,2,2,2,1,5,0.73,1,2,1,1
"180",93882,1,1,2,2,2,2,2,1,2,99,NA,9,9,NA,2
"181",93883,1,2,2,2,2,2,2,2,1,99,NA,1,2,1,3
"182",93884,1,2,2,2,2,2,2,1,2,99,NA,3,1,NA,1
"183",93885,1,2,2,2,2,2,2,2,2,10,2.13,3,2,2,2
"184",93886,2,2,1,2,2,1,2,1,2,6,2.57,3,2,1,1
"185",93887,2,2,1,2,2,2,2,2,2,4,1.4,2,2,1,1
"186",93888,1,1,2,2,2,2,2,2,2,12,2.57,3,1,NA,1
"187",93889,1,2,2,2,2,2,2,2,2,4,0.63,1,2,1,1
"188",93890,1,2,2,2,2,2,2,2,2,12,4.08,3,1,NA,1
"189",93891,9,9,2,2,2,2,2,2,2,99,NA,9,2,99,2
"190",93892,2,2,1,2,2,2,2,2,2,12,5,3,2,1,1
"191",93893,1,2,1,2,2,2,2,1,2,12,3.64,3,2,2,1
"192",93894,2,2,1,2,2,2,2,2,7,99,NA,7,2,1,1
"193",93895,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"194",93896,1,2,2,2,2,1,2,2,2,9,1.63,2,2,1,1
"195",93897,1,2,2,2,2,2,1,2,2,4,1.02,1,2,4,1
"196",93898,1,2,1,2,2,2,2,2,2,6,0.72,1,2,1,1
"197",93899,1,1,1,2,2,2,2,2,2,6,1.74,2,2,1,1
"198",93900,1,2,2,2,2,2,2,2,2,7,1.43,2,2,1,1
"199",93901,1,1,2,2,2,2,1,2,1,5,0.71,1,2,1,1
"200",93902,1,2,2,2,2,2,2,2,2,77,NA,9,2,99,1
"201",93903,2,2,1,1,2,2,2,2,2,6,2.04,3,2,2,1
"202",93904,1,2,2,2,2,2,2,1,1,99,NA,2,1,NA,1
"203",93905,1,1,2,2,2,2,2,1,2,12,4.88,3,1,NA,1
"204",93906,1,2,2,1,2,2,2,1,2,10,2.41,3,2,2,2
"205",93907,1,2,2,2,1,2,2,2,1,5,1.79,2,2,1,1
"206",93908,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,6
"207",93909,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"208",93910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",93911,1,1,2,2,2,2,2,2,2,11,2.86,3,2,1,1
"210",93912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",93913,1,2,2,2,2,2,2,2,2,77,NA,3,7,NA,2
"212",93914,1,1,2,1,2,2,2,1,2,12,4.88,3,1,NA,1
"213",93915,1,2,1,1,1,2,1,2,1,11,4.39,3,1,NA,1
"214",93916,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"215",93917,1,2,2,2,2,2,2,2,1,4,0.81,1,2,1,1
"216",93918,1,2,2,2,2,2,2,2,2,5,0.98,1,2,2,1
"217",93919,1,2,2,2,2,2,2,1,2,12,3.02,3,1,NA,1
"218",93920,1,1,2,2,2,2,2,2,2,6,1.85,2,1,NA,1
"219",93921,1,1,2,2,2,2,1,2,1,5,1.39,2,1,NA,1
"220",93922,1,2,2,2,2,2,2,2,2,3,0.59,1,2,2,4
"221",93923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",93924,2,2,1,1,2,2,2,2,2,4,1.34,2,2,1,6
"223",93925,1,2,2,2,2,2,2,2,2,10,2.5,3,2,3,1
"224",93926,1,2,1,2,2,2,2,2,2,99,NA,3,1,NA,1
"225",93927,1,2,2,1,2,2,2,2,2,5,0.96,1,2,1,1
"226",93928,1,1,2,2,2,2,2,2,2,99,NA,9,2,1,1
"227",93929,1,2,2,2,2,2,2,2,2,11,4.62,3,1,NA,1
"228",93930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",93931,1,2,2,2,2,2,1,2,2,3,0.29,1,2,1,1
"230",93932,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"231",93933,1,2,2,2,2,2,2,2,2,4,0.68,1,1,NA,3
"232",93934,1,2,2,2,2,2,2,2,2,8,2.15,3,2,2,2
"233",93935,1,2,2,2,2,2,2,2,2,2,0.29,1,2,1,1
"234",93936,1,1,2,2,2,2,2,1,1,7,1.71,2,1,NA,1
"235",93937,1,2,2,2,2,2,2,2,1,9,3.4,3,2,1,1
"236",93938,1,2,2,2,1,2,2,2,2,9,2.89,3,1,NA,1
"237",93939,1,2,2,2,2,2,2,2,2,7,2.97,3,2,1,1
"238",93940,1,2,1,2,2,2,2,2,2,12,3.64,3,1,NA,1
"239",93941,1,1,2,2,2,2,2,2,2,12,2.57,3,1,NA,1
"240",93942,1,1,2,2,2,2,2,2,2,12,5,3,1,NA,1
"241",93943,2,2,1,2,1,2,2,1,2,10,5,3,1,NA,1
"242",93944,1,2,2,2,2,2,2,2,2,7,2.25,3,2,2,1
"243",93945,1,2,1,2,2,9,2,2,2,2,0.69,1,2,1,4
"244",93946,1,2,2,2,2,2,2,2,2,5,1.46,2,2,1,1
"245",93947,1,1,2,2,2,2,2,2,1,9,3.69,3,2,3,1
"246",93948,1,2,2,2,2,2,2,2,2,1,0,1,2,1,2
"247",93949,1,1,2,2,2,2,2,2,2,11,5,3,2,2,1
"248",93950,1,1,2,2,2,2,2,2,2,99,NA,3,2,2,1
"249",93951,1,2,1,2,2,2,2,2,2,4,0.67,1,2,1,1
"250",93952,1,2,2,2,2,2,1,2,2,6,1.09,1,2,1,1
"251",93953,1,2,2,2,2,2,2,2,1,5,0.77,1,2,1,1
"252",93954,1,2,2,2,2,1,2,2,2,8,1.67,2,2,1,1
"253",93955,2,2,1,2,2,1,2,2,2,3,0.9,1,2,1,6
"254",93956,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"255",93957,1,2,2,2,2,2,2,2,1,7,1.43,2,2,1,8
"256",93958,1,2,2,2,2,2,2,2,2,8,1.39,2,2,1,3
"257",93959,1,2,2,1,2,2,2,2,2,6,1.46,2,2,1,1
"258",93960,2,2,1,1,2,2,2,2,2,3,0.75,1,2,1,6
"259",93961,1,1,2,2,2,2,2,1,2,8,2.31,3,1,NA,1
"260",93962,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"261",93963,2,2,1,2,1,2,2,1,2,6,2.08,3,1,NA,1
"262",93964,1,2,2,2,2,2,2,1,2,9,2.89,3,1,NA,1
"263",93965,1,2,2,2,2,2,2,2,2,99,NA,3,2,1,2
"264",93966,1,2,2,2,2,2,2,2,1,8,1.29,1,2,1,1
"265",93967,1,1,2,2,2,2,2,2,2,4,0.68,1,2,1,1
"266",93968,1,2,2,1,2,2,2,2,2,5,1.99,3,2,1,1
"267",93969,1,2,2,2,2,2,2,2,2,4,0.72,1,2,1,1
"268",93970,1,2,2,2,2,2,2,2,2,99,NA,3,9,NA,1
"269",93971,1,2,2,2,2,2,2,2,2,12,3.82,3,2,1,1
"270",93972,1,2,2,2,2,2,2,2,2,8,2.64,3,2,1,1
"271",93973,1,2,2,2,2,2,2,2,2,4,0.53,1,2,1,1
"272",93974,2,1,2,2,2,2,2,1,2,5,1.66,2,1,NA,1
"273",93975,1,2,2,2,2,2,2,2,1,7,2.02,3,1,NA,1
"274",93976,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,6
"275",93977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",93978,1,2,2,2,2,2,2,2,2,7,2.19,3,2,2,1
"277",93979,1,2,2,2,2,2,2,2,2,7,1.71,2,2,1,1
"278",93980,1,2,2,2,2,2,2,1,2,11,5,3,1,NA,1
"279",93981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",93982,2,2,2,2,2,2,2,2,2,1,0,1,2,1,1
"281",93983,2,2,1,2,2,2,2,1,1,6,1.85,2,1,NA,1
"282",93984,1,2,2,2,2,2,2,2,2,8,1.91,3,2,1,1
"283",93985,1,2,1,2,1,2,7,2,2,5,0.75,1,2,1,1
"284",93986,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"285",93987,1,1,2,2,2,2,1,2,1,5,0.71,1,2,1,1
"286",93988,1,1,2,2,2,2,2,2,2,4,0.61,1,2,1,1
"287",93989,1,1,2,2,2,2,2,1,2,12,4.78,3,1,NA,1
"288",93990,2,2,1,2,1,2,2,2,2,7,2.22,3,2,3,1
"289",93991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",93992,1,2,2,2,2,2,2,2,2,9,2.44,3,2,1,1
"291",93993,2,2,1,2,2,1,2,2,2,5,1.01,1,2,1,1
"292",93994,1,2,2,2,2,2,2,2,1,1,0.09,1,2,1,1
"293",93995,1,2,2,2,2,2,2,2,2,12,4.27,3,1,NA,1
"294",93996,1,2,2,2,2,2,2,2,2,99,NA,9,9,NA,7
"295",93997,1,1,2,2,2,2,2,1,2,6,0.64,1,1,NA,1
"296",93998,1,2,1,2,1,2,2,2,1,8,1.95,3,2,1,2
"297",93999,1,1,2,1,2,2,1,2,1,12,4.97,3,1,NA,1
"298",94000,1,2,1,1,1,2,2,2,2,8,2.15,3,1,NA,1
"299",94001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",94002,1,1,2,2,2,2,2,2,2,11,3.35,3,2,1,1
"301",94003,1,2,1,2,1,2,2,2,2,6,2.49,3,2,1,1
"302",94004,1,2,2,2,2,2,1,2,2,11,2.96,3,2,4,2
"303",94005,1,2,2,1,2,2,2,2,2,6,0.82,1,2,1,1
"304",94006,1,2,2,2,2,2,2,2,1,12,5,3,2,3,1
"305",94007,2,2,1,2,1,2,2,1,2,8,4.18,3,1,NA,1
"306",94008,1,2,2,2,2,2,2,2,2,99,NA,1,2,1,1
"307",94009,1,2,2,2,2,2,2,2,1,10,2.45,3,2,1,1
"308",94010,1,2,1,2,2,2,2,1,1,4,1.17,1,1,NA,1
"309",94011,1,2,2,2,2,2,2,1,2,8,1.91,3,2,3,1
"310",94012,1,2,2,2,2,2,2,2,2,6,1.22,1,2,1,1
"311",94013,1,2,1,2,2,2,2,2,2,11,3.75,3,2,4,1
"312",94014,1,2,2,2,2,2,2,2,2,12,3.64,3,2,1,1
"313",94015,1,1,2,1,2,2,1,2,1,5,0.98,1,2,1,1
"314",94016,2,1,1,2,2,2,2,2,2,4,1.03,1,2,1,1
"315",94017,1,1,2,1,2,2,2,1,2,12,5,3,1,NA,1
"316",94018,1,2,2,2,2,2,2,2,2,8,1.1,1,2,1,1
"317",94019,1,2,1,2,1,2,2,2,2,8,2.43,3,1,NA,1
"318",94020,1,2,2,2,2,2,2,1,2,7,1.09,1,2,1,1
"319",94021,2,2,1,2,2,1,2,2,2,2,0.49,1,2,1,1
"320",94022,1,2,2,2,2,2,2,2,2,4,0.68,1,2,1,7
"321",94023,1,2,2,2,2,2,2,2,2,9,2.44,3,1,NA,1
"322",94024,1,2,2,2,2,2,2,2,1,6,1.03,1,2,1,1
"323",94025,1,1,2,2,2,2,2,2,2,11,3.71,3,1,NA,1
"324",94026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",94027,1,2,2,2,2,2,2,2,2,99,NA,9,2,99,1
"326",94028,1,2,2,2,2,2,2,2,1,10,3.94,3,1,NA,1
"327",94029,1,1,2,2,2,2,2,2,2,5,1.99,3,2,2,1
"328",94030,1,2,2,2,2,2,2,2,2,11,3.82,3,2,3,1
"329",94031,2,2,1,2,1,2,2,2,2,3,0.99,1,2,1,1
"330",94032,1,2,1,1,2,1,2,2,1,9,1.77,2,2,1,1
"331",94033,1,2,2,2,2,2,2,1,2,11,3.9,3,1,NA,1
"332",94034,2,2,2,2,2,2,2,2,2,3,0.41,1,2,99,1
"333",94035,1,2,2,2,2,2,2,2,2,2,0.24,1,2,1,1
"334",94036,1,2,2,2,2,2,2,2,2,4,0.72,1,2,1,1
"335",94037,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,2
"336",94038,1,1,2,2,2,2,2,2,1,3,0.73,1,2,1,1
"337",94039,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"338",94040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",94041,1,2,2,2,2,2,2,2,2,12,5,3,1,NA,1
"340",94042,1,2,2,2,2,2,2,2,2,99,NA,3,2,2,2
"341",94043,1,1,2,2,2,1,2,2,2,12,5,3,1,NA,1
"342",94044,1,2,2,2,1,2,2,2,2,8,1.46,2,2,1,1
"343",94045,2,2,1,2,2,2,2,2,2,3,0.9,1,2,1,4
"344",94046,1,2,2,2,2,2,2,2,2,6,1.2,1,2,2,1
"345",94047,1,2,2,2,2,2,2,2,2,8,1.71,2,1,NA,1
"346",94048,2,1,1,2,1,2,2,1,2,7,3.08,3,1,NA,1
"347",94049,2,2,1,1,2,1,2,2,2,5,0.98,1,2,1,2
"348",94050,2,2,1,2,1,2,2,2,2,3,1,1,2,1,1
"349",94051,2,1,1,2,1,2,2,1,2,5,1.99,3,1,NA,1
"350",94052,1,2,2,2,2,2,2,2,2,4,0.73,1,2,1,1
"351",94053,1,2,2,2,2,2,2,2,2,8,1.46,2,2,1,2
"352",94054,2,1,1,1,2,2,2,2,2,7,1.43,2,2,4,1
"353",94055,1,2,1,1,1,1,2,2,1,11,2.46,3,2,1,1
"354",94056,1,2,2,2,2,2,2,2,1,8,1.53,2,1,NA,1
"355",94057,1,2,1,2,1,2,2,2,2,5,1.79,2,1,NA,1
"356",94058,1,2,1,2,1,2,2,2,2,6,1.63,2,2,1,1
"357",94059,1,2,2,2,2,2,2,2,2,4,0.92,1,2,1,6
"358",94060,1,1,2,1,2,2,2,2,2,7,1.76,2,2,1,1
